ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
13.1;Poissons et batraciens crus;26064;Thon albacore ou thon jaune, cru; 440; 104; 440; 104;72.4;24.4;24.4;traces; 0.7;0;-;0;0;1.47;0;0;0.17;0.12;0.15;0;0;0;0;               0.001;               0.009;0.11;               0.045;0.08;               0.006;               0.002;-;               0.012;               0.088;  43;0.12;  10;-;               0.044;0.99;23.7;42.5;               0.021; 239; 402;79.6;41.7;0.23; 195;0; 2.3;0.72; 0.1;-; 2.6;0.14;               0.098;13.5;0.47;0.97; 8.5;3.44
13.1;Poissons et batraciens crus;26076;Thon germon ou thon blanc, cru; 512; 121; 512; 121;69.5;27.2;27.2;traces;1.34;0;-;0;0;1.65;0;0;0.26;0.22;0.25;-;-;-;-;-;               0.017;0.14;               0.059;0.11;              0.0045;              0.0034;               0.061;               0.039;0.15;35.2;0.32;3.43; 195;< 0.1;0.95;14.1;37.7;< 0.1; 242; 355; 171;75.7;0.37;3.09;-;2.33;0.44;-;-;-;               0.067;               0.047;19.3;0.15;0.95;15.3;2.79
13.1;Poissons et batraciens crus;26068;Thon listao ou Bonite à ventre rayé, cru; 411;97.1; 411;97.1;  73;  22;  22;traces;1.01;0;-;0;0; 1.3;0;0;0.33;0.19;0.32;-;-;-;-;-;0.04;0.23;               0.055;-;-;-;-;               0.071;0.19;  47;               0.093;  29;-;               0.086;1.25;-;  34;               0.015; 222; 407;-;  37;0.82;  16;-;-;-;-;-;   1;               0.033; 0.1;15.4;0.42;0.85;   9; 1.9
13.1;Poissons et batraciens crus;26069;Thon rouge, cru; 649; 155; 649; 155;68.1;23.3;23.3;traces;6.81;0;-;0;0;1.18;0;0;1.26; 1.6;1.43;0;0;0;0;0;0.14;0.81;0.31;-;-;-;-;0.28;0.89;  38;               0.098;   8;-;               0.086;1.02;-;  50;               0.015; 254; 252;73.4;  39; 0.6; 655;0; 5.7;   1;0;-;0;0.24;0.25;8.65;1.05;0.46;   2;9.43
13.1;Poissons et batraciens crus;26053;Thon, cru; 477; 112; 477; 112;70.8;26.1;26.1;traces;0.91;0;0;0;0; 1.3;0;0;0.26;0.16;0.29;-;-;-;-;0;               0.011;               0.053; 0.2;0.13;-;              0.0013;               0.061;               0.046;0.19;  47;0.11;  10;0;               0.051; 1.5;23.7;  50;0.03; 200; 363;85.8;  43;0.08; 372;0; 2.9; 1.2;-;-; 2.6;0.16;0.08; 8.5;0.66;   1;  15; 4.8
13.1;Poissons et batraciens crus;27019;Tilapia, cru; 387;91.6; 387;91.6;78.5;18.1;18.1;traces;2.13;0;-;0;0;0.82;0;0;0.56;0.64;0.44;0;0;0;0;              0.0011;               0.046;0.39; 0.1;0.44;0.21;               0.028;-;               0.011;               0.071;39.5;               0.071;8.16;-;< 0.1;0.27;6.38;25.4;< 0.1; 131; 282;17.8;28.3;0.32;< 2;0;19.6; 0.4; 1.3;-;0;< 0.04;               0.051;3.28;0.68;0.23;  24;1.07
13.1;Poissons et batraciens crus;27009;Truite arc en ciel, crue, élevage; 640; 153; 640; 153;  71;19.3;19.3;traces;8.44;0;0;0;0;1.29;0;0;1.43; 2.2;1.76;0;0;0;0;               0.004;0.27;0.95;0.18; 1.1;0.36;               0.066;0.03;0.27;0.84;59.1;0.12;71.7;  57;               0.043;0.31;5.65;30.3;               0.036; 275; 368;16.9;49.5;0.63;  51;0;14.5;1.97;0.33;3.39;0;0.11;0.15;5.38;1.67;0.52;16.5;3.65
13.1;Poissons et batraciens crus;27008;Truite d'élevage, crue; 558; 133; 558; 133;73.9;19.3;19.3;traces;6.22;0;-;0;0;1.28;0;0;1.25;2.22;2.45;-;-;-;-;               0.002;0.19;0.81;0.19;1.43;0.73;0.28;-;0.29;0.66;54.8; 0.1;17.1;-;< 0.1; 0.5;9.23;27.5;< 0.1; 188; 410;9.75;41.8;0.44;13.5;< 0.008;5.92;1.94;-;-;-;0.14; 0.1;5.54;1.51;0.34;9.23;2.54
13.1;Poissons et batraciens crus;26092;Truite de mer, crue; 462; 110; 462; 110;75.2;  20;  20;traces; 3.3;0;0;0;0; 1.5;0;0;0.62;1.06; 1.3;-;-;-;-;0;0.11;0.45;               0.057;-;0.11;0;-;-;-;  66;0.13;  20;0;0.04; 0.7;  20;  30;0.04; 290; 414;18.7;  53;0.44;  12;-; 2.1;0.65;0;-; 1.1; 0.1;0.14; 3.5;1.95;0.54;  16;   5
13.1;Poissons et batraciens crus;27021;Truite saumonée, crue; 600; 143; 600; 143;72.3;19.2;19.2;traces; 7.4;0;-;0;0; 1.3;0;0; 1.2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;  48;0.16;46.7;-;0.04;0.75;11.5;  30;traces; 260; 370;  14;  80;0.44;  20;-;18.7;-;0;-;0;0.16;0.09;-;-;-;  22; 4.7
13.1;Poissons et batraciens crus;26201;Turbot d'élevage, cru; 457; 109; 457; 109;76.5;18.3;18.3;traces;3.94;0;-;0;0;1.16;0;0;0.57;0.67;0.91;-;-;-;-;               0.001;0.12;0.35;               0.069;0.26;0.14;               0.017;-;0.21;0.25;50.9;0.19;10.2;-;< 0.1;0.16;24.2;24.9;< 0.1; 134; 306;17.7;77.9;0.65; 9.6;< 0.008;0.71;3.63;-;-;-;               0.057;               0.042;3.49;0.42;0.19;-;1.25
13.1;Poissons et batraciens crus;26042;Turbot sauvage, cru; 373;88.4; 373;88.4;  77;16.6;16.6;traces;2.43;0;-;0;0; 2.1;0;0;0.72;0.54;0.71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;  48;0.38;  18; 140;               0.037;0.36;  35;  51;               0.017; 129; 238;47.3; 150;0.22;  11;-;traces;0;-;-; 1.7;               0.066;0.08; 2.2;0.57;0.21;   8; 2.2
13.1;Poissons et batraciens crus;26174;Turbot, cru; 367;87.1; 367;87.1;78.3;16.5;16.5;traces;2.35;0;-;0;0;   2;0;0;0.19;0.16;-;-;-;-;-;-;               0.022;0.14;               0.031;               0.095;0.01;0.01;               0.018;-;0.16;  48;0.21;  49;-;-;0.25;  35;  23;-; 203; 415;-;  84;-;11.7;-;-;-;0;-; 1.7;               0.043;               0.085; 3.6;0.25;0.15;  16;1.05
13.1;Poissons et batraciens crus;26146;Vivaneau, cru; 398;94.1; 398;94.1;  78;20.5;20.5;traces;1.34;0;-;0;0;1.31;0;0;0.29;0.25;0.46;0;0;0;0;0;               0.036;0.16;               0.081;-;-;-;-;               0.051;0.26;  37;0.16;  32;-;               0.028;0.69;-;  32;               0.013; 198; 417;-;  64;0.36;  32;0;10.2;0.96; 0.1;-; 1.6;               0.046;               0.003;0.28;0.75; 0.4;   5;   3
13.1;Poissons et batraciens crus;26122;Églefin, cru; 307;72.3; 307;72.3;80.4;17.3;17.3;traces;0.35;0;-;0;0;0.94;0;0;               0.098;               0.065;0.18;0;0;0;0;               0.001;              0.0028;               0.071;               0.019;               0.029;              0.0034;               0.001;-;               0.049;               0.092;42.3;0.16;9.23;  86;< 0.1;0.28; 126;26.4;< 0.1; 144; 292;  36;65.9;0.32;< 2;0;< 0.5;0.45; 0.1;-;0;< 0.04;< 0.04;2.64;0.11;0.32;12.5;1.07
13.1;Poissons et batraciens crus;26083;Éperlan, cru; 363;85.8; 363;85.8;78.8;17.6;17.6;traces; 1.7;0;0;0;0;0.91;0;0;0.27;0.38;0.53;-;-;-;-;-;-;-;-;-;-;-;-;0.18;0.35;  71;0.39;-;-;-;-;  67;  24;-; 245; 357;-; 156;-;-;0;-;-;-;-;0;-;0.12;1.45;0.64;-;  37;3.44
17;Pommes de terre et autres tubercules;4038;Chips de pommes de terre et assimilés, allégées en matière grasse;1950; 467;1950; 467; 1.3;6.48;6.48;59.6;21.4;2.12;54.9;4.99;0;3.83;0;traces;1.94;16.9;1.64;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;0.01;0.72;0.59;  14;1.33;0.03;< 0.01;< 0.01;< 0.01;1.01;1.22;  56; 802;0.25; 1.2;< 20;  67;0.26; 210;1300;< 20; 486;0.87;-;9.62;-;3.32;2.56;-;-;0.32;               0.029;2.56;1.57;0.43; 254;               0.049
17;Pommes de terre et autres tubercules;4004;Chips de pommes de terre, standard;2270; 545;2270; 545; 1.4;5.68;5.68;51.2;34.3;1.59;48.8;4.56;0;4.18;0;traces;3.22;24.2;2.07;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;1.15;0.94;23.7;2.03;0.04;< 0.01;< 0.01;< 0.01;< 0.7;1.64;  27; 742;0.22; 1.2;< 20;  66;0.35; 140;1300;< 20; 650;0.82;< 21;< 5;0;12.3;5.02;-;8.26;0.13;               0.014;19.4;0.85;0.44;31.6;0
17;Pommes de terre et autres tubercules;4030;Frites de pommes de terre, surgelées, rôties/cuites au four; 896; 213; 896; 213;51.1;3.75;3.75;32.6; 6.6;< 0.4;30.6; 4.2;0;1.72;0;traces;0.75;2.24;3.32;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;0.46;0.21;2.16;3.28;0.02;< 0.01;< 0.01;< 0.01;< 0.7;0.39;  11; 267;0.11;0.67;< 20;  29;0.15;  81; 590;< 20; 156;0.45;< 21;< 5;0;7.64;< 0.8;-;2.38;               0.097;               0.018;1.15;0.52;0.52;40.6;0
17;Pommes de terre et autres tubercules;54500;Fruit à pain, cru; 444; 105; 444; 105;70.7;1.07;1.07;22.2;0.23;  11;-; 4.9;0;0.93;0;traces;               0.048;               0.034;               0.066;0;0;0;0;0;0;               0.031;               0.017;-;-;-;-;0;0;0;               0.005;  17;-;               0.084;0.54;-;  25;0.06;  30; 490;-;   2;0.12;0;0;0; 0.1; 0.5;-;  29;0.11;0.03; 0.9;0.46; 0.1;  14;0
17;Pommes de terre et autres tubercules;53502;Igname, épluchée, crue; 469; 111; 469; 111;69.6;1.53;1.53;23.8;0.17; 0.5;-; 4.1;0;0.93;0;traces;               0.037;               0.006;               0.076;0;0;0;0;0;0;               0.033;              0.0039;-;-;-;-;0;0;0;               0.023;  17;-;0.18;0.54;-;  21; 0.4;  55; 816;-;   9;0.24;0;  83;0;0.35; 2.3;-;17.1;0.11;               0.032;0.55;0.31;0.29;  23;0
17;Pommes de terre et autres tubercules;54031;Manioc, racine crue; 664; 157; 664; 157;59.7;1.31;1.31;36.3;0.29; 1.7;  30; 1.8;0;0.61;0;traces;               0.074;               0.075;               0.048;0;0;0;0;             0.00099;0;               0.068;               0.005;               0.074;               0.031;               0.017;0;0;0;0;               0.035;  16;-; 0.1;0.27;-;  21;0.38;  27; 271;-;  14;0.34;0;   8;0;0.19; 1.9;-;20.6;               0.087;               0.048;0.85;0.11;               0.088;  27;0
17;Pommes de terre et autres tubercules;4101;Patate douce, crue; 365;86.3; 365;86.3;78.8;1.51;1.51;18.3;0.15;5.64;12.7;2.87;0;1.05;0;traces;               0.064;              0.0035;               0.048;0;0;0;0;0;0;               0.061;              0.0034;              0.0035;               0.044;              0.0035;0;0;0;0;               0.098;37.5;-;0.15;0.76; 0.2;  20;0.26;  47; 373; 0.6;39.3;0.25;0;8510;0;0.26; 1.8;-; 2.4;               0.072;               0.061;0.56; 0.8;0.19;  11;0
17;Pommes de terre et autres tubercules;4020;Pomme de terre dauphine, surgelée, crue;1190; 285;1190; 285;  49;4.62;4.62;25.6;17.7;1.96;-;2.34;0; 2.1;0;traces;3.98;5.49;8.06;< 0.014;< 0.014;< 0.014;< 0.014;< 0.014;               0.014;1.27;0.53;-;8.04;               0.011;< 0.014;< 0.014;< 0.014;-;1.17;22.2;-;0.09;0.99;-;9.25;0.23;41.8; 138;-; 468;0.68;-;-;-;-;-;-;-;-;-;-;-;-;-;-
17;Pommes de terre et autres tubercules;4028;Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau; 322;76.1; 322;76.1;79.7;1.81;1.81;15.7;< 0.5;< 0.2;13.5; 1.9;0;0.94;0;traces;-;-;-;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;-;< 0.01; 6.5;76.3;0.07;0.31;< 20;  17; 0.1;  40; 390;< 20;< 5;0.23;-;< 5;-; 0.1;< 0.8;-;3.78;               0.062;< 0.01;0.61;0.37;0.17;7.89;               0.074
17;Pommes de terre et autres tubercules;4034;Pomme de terre duchesse, surgelée, cuite; 913; 218; 913; 218;51.5;3.44;3.44;29.5; 8.5;< 0.4;27.8; 4.8;0;2.17;0;traces;0.96;3.67;3.46;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;0.01;0.62;0.26;3.48;3.37;0.08;< 0.01;< 0.01;< 0.01;2.87;0.99;  51; 622;0.12;0.81;< 20;  28;0.19;  81; 530;< 20; 395;0.53;< 21;< 5;-;2.33;< 0.8;-;< 0.5;               0.092;               0.051;0.34;0.42;0.26;18.5;-
17;Pommes de terre et autres tubercules;4013;Pomme de terre noisette, surgelée, crue; 760; 181; 760; 181;  61;2.76;2.76;24.9;7.22;0.74;-;2.82;0;2.02;0;traces;1.68;2.85;1.47;< 0.05;< 0.05;              0.0048;< 0.05;              0.0093;               0.033;1.36;0.27;-;-;               0.021;-;-;-;-;0.93;25.2;-; 0.1;   1;   3;27.9;0.18; 111; 550;< 2.2; 373;0.58;-;   3;0; 0.2;-;-;10.5;0.13;0.03; 2.2; 0.5; 0.2;  28;-
17;Pommes de terre et autres tubercules;4023;Pomme de terre nouvelle, crue; 324;76.4; 324;76.4;80.5;1.88;1.88;15.9; 0.3; 0.2;15.6; 1.3;0; 0.9;0;traces;               0.058;               0.014;0.17;-;-;-;-;-;-;               0.048;               0.009;               0.009;               0.072;               0.096;-;-;-;0;               0.058;  10;-;-; 0.6; 0.9;-;-;  54; 367;-;  23; 0.5;0;-;0;0.06;-;-;  22;0.12;0.03; 2.4;-;0.44;  25;0
17;Pommes de terre et autres tubercules;4029;Pomme de terre primeur, sans peau, bouillie/cuite à l'eau; 303;71.6; 303;71.6;79.9;1.84;1.84;14.9;< 0.1;-;14.9;2.13;0; 1.2;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.17; 0.7;-;19.7;-;-; 291;-;-;0.34;-;-;-;-;-;-;18.9;-;-;-;-;0.21;53.8;-
17;Pommes de terre et autres tubercules;4027;Pomme de terre rissolée, surgelée, cuite; 587; 140; 587; 140;-; 2.5; 2.5;  22;4.13; 0.2;-; 2.2;0;               0.088;0;traces;2.18;0.58;               0.074;-;-;-;0;              0.0096;               0.041;1.57;0.32;0.53;0.06;               0.011;0;0;0;-;               0.088;-;-;-;-;-;-;-;-;-;-;  35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
17;Pommes de terre et autres tubercules;4036;Pomme de terre sautée/poêlée à la graisse de canard; 889; 213; 889; 213;-;2.54;2.54;21.9;12.1;1.59;-;2.89;0;0.67;0;traces;3.17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.67;-;-;-;-;-;-;-;-;-;-; 266;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
17;Pommes de terre et autres tubercules;4014;Pomme de terre vapeur, sous vide; 312;73.6; 312;73.6;-; 1.7; 1.7;15.4; 0.2; 0.4;-;1.62;0;0.24;0;traces;               0.096;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.24;-;-;-;-;-;-;-;-;-;-;96.2;-;-;-;-;-;-;-;14.7;-;-;-;-;-;-;-
17;Pommes de terre et autres tubercules;4016;Pomme de terre, flocons déshydratés, au lait ou à la crème;1570; 371;1570; 371;6.21;10.1;9.99;69.8;3.97;4.69;  65;   8;0;4.05;0;traces;1.55;0.14;0.27; 0.1;               0.062;               0.041;               0.092;0.05;0.12;0.45;0.43;0.14;0.14;               0.036;0;0;0;   2;0.22; 106; 189;0.47;2.55;20.6;69.5;0.61; 238;1510; 0.5;78.1; 1.3;  17;  10;0;0.03; 8.7;-;22.3;0.19;0.24;6.35;1.31;1.03;  30;0
17;Pommes de terre et autres tubercules;4017;Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse; 409;97.9; 409;97.9;77.8;1.92;1.92;10.2;5.18;1.68;8.49;1.47;0;1.05;0;traces;1.87;1.77;0.94;               0.077;               0.051;               0.035;               0.062;               0.066;0.21;0.88;0.46;-;-;-;-;0;0;6.67;0.56;38.7;-;               0.025;0.19;-;16.3;0.11;52.3; 184;-; 223; 0.2;45.3;30.7;-;0.33; 3.9;-;8.63;0.11;               0.062;0.77; 0.2;               0.089;7.33;0.11
17;Pommes de terre et autres tubercules;4018;Pomme de terre, purée, avec lait et beurre, non salée; 374;88.9; 374;88.9;  77;1.89;1.87;14.2; 2.4;1.21;  13; 1.5;0;1.48;0;traces;1.46; 0.6;0.13;               0.084;               0.057;               0.038;               0.069;               0.073;0.21;0.63;0.28;-;-;-;-;0;0; 6.5;0.11;31.1;-;               0.061;0.21;   5;15.2;               0.066;45.5; 260;< 10;44.9;0.22;  22; 5.5;traces;0.07; 1.9;-; 6.1;               0.088;               0.041; 1.1;0.48;0.23;   8;0.07
17;Pommes de terre et autres tubercules;4002;Pomme de terre, sans peau, cuite au four; 390;91.9; 390;91.9;75.4;1.95;1.95;20.1; 0.1; 1.7;-; 1.5;0;0.97;0;traces;               0.026;               0.002;               0.043;0;0;0;               0.001;               0.003;               0.001;               0.016;               0.004;-;-;-;-;0;0;0;              0.0036;9.48;-;               0.094;0.35;   3;21.7;0.15;  50; 391;< 2.2;1.43;0.24;0;0;0;0.04; 0.3;-;12.8;0.11;               0.021; 1.4;0.56; 0.3;   9;0
17;Pommes de terre et autres tubercules;4025;Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites; 600; 143; 600; 143;68.2;2.54;2.54;20.1;5.25;0.38;19.8;2.53;0; 2.2;0;traces;1.63;1.92;1.47;< 0.01;< 0.01;              0.0088;< 0.01;< 0.01;               0.026;1.36;0.24;1.92; 1.4;               0.077;< 0.01;< 0.01;< 0.01;< 0.7;0.68;  16; 552;0.12;0.78;< 20;  34;0.16; 110; 710;< 20; 274;0.46;< 21;  18;-;1.61;5.25;-;1.35;0.22;               0.032;0.18; 0.2;0.29;32.9;-
17;Pommes de terre et autres tubercules;4039;Rostis ou Galette de pomme de terre; 773; 185; 773; 185;63.5;2.21;2.21;21.5; 9.4;0.64;20.9;2.69;0;2.16;0;traces; 2.4;3.64;2.95;0.01;< 0.01;0.01;0.01;0.02;0.06;0.89;0.29;3.64;2.77;0.18;< 0.01;< 0.01;< 0.01;  15;1.05;  31; 704; 0.1;0.65;< 20;  24;0.15;  79; 480;< 20; 423;0.43;< 21;< 5;-;2.71;< 0.8;-;0.63;               0.069;               0.045; 2.3;0.46;0.18;17.8;-
17;Pommes de terre et autres tubercules;4000;Tapioca ou Perles du Japon, cru;1500; 354;1500; 354;  11;0.19;0.19;87.8;0.02;3.35;-; 0.9;0;0.08;0;traces;               0.007;              0.0045;              0.0022;0;0;0;              1.5E-6;            0.000048;             0.00022;              0.0044;              0.0024;              0.0036;              0.0012;             0.00027;0;0;0;0;              0.0025;  20;-;0.02;1.58; 2.7;   1;0.11;   7;  11; 0.3;   1;0.12;0;0;0;0;0;-;0;               0.004;0;0;0.14;               0.008;   4;0
17;Pommes de terre et autres tubercules;53200;Taro, tubercule, cru; 453; 107; 453; 107;70.6; 1.5; 1.5;22.8; 0.2; 0.4;20.8; 4.1;0; 1.2;0;traces;               0.041;               0.016;               0.083;0;0;0;0;0;0;               0.035;               0.006;-;-;-;-;0;0;0;               0.028;  43;-;0.17;0.55;-;  33;0.38;  84; 591;-;  11;0.23;0;  35;0;2.38;   1;-; 4.5;               0.095;               0.025; 0.6; 0.3;0.28;  22;0
17;Pommes de terre et autres tubercules;20050;Topinambour, cuit; 346;81.9; 346;81.9;80.2; 1.8; 1.8;  16; 0.7; 9.6;< 0.5; 2.2;0; 1.4;0;traces;0;               0.004;               0.001;0;0;0;-;0;0;0;0;-;-;-;-;0;0;0;0.09;32.9;-;< 0.1; 0.2;< 10;14.1;< 0.1;  64; 452;-;35.9;0.34;0;< 50;0;0.19; 0.1;-; 3.2;< 0.05;0.03;0.05;0.38;0.04;44.3;0
13.2;Produits à base de poissons appertisés;26177;Anchois au sel (anchoité, semi-conserve); 540; 128; 540; 128;-;  25;  25;0; 3.1;0;0;0;0;10.3;0;0;0.82;0.76;1.05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;  70;9.01; 542;-;-; 6.9;-;-;-; 481; 215;-;3600; 1.7;  55;0; 4.6;0.29;-;-;0;0.06;0.26;  14;-;0.14;   8;-
13.2;Produits à base de poissons appertisés;25999;Anchois, filets roulés aux câpres, semi-conserve, égoutté; 830; 198; 830; 198;-;24.8;24.8;1.48;10.3;-;-;< 1;0;17.4;0;0;0.86;2.09;4.49;< 0.0073;< 0.0073;< 0.0073;< 0.0073;< 0.0073;              0.0073;0.44;0.25;-;3.78;               0.028;< 0.0073;< 0.0073;               0.026;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13.2;Produits à base de poissons appertisés;26181;Thon albacore ou thon jaune, au naturel, appertisé, égoutté; 542; 128; 542; 128;68.5;26.6;26.6;0.58;1.98;< 0.094;-;< 1.5;0;1.57;0;0;0.67;0.35;0.76;< 0.002;< 0.002;< 0.002;< 0.002;< 0.002;               0.042; 0.4;0.16;0.24;               0.019;               0.006;               0.071; 0.1;0.56;60.7;0.71; 1.5; 573;< 0.1; 1.3;   1;26.1;< 0.1; 166; 245;  68; 283; 0.4;  22;-; 6.1;1.08; 2.3;-;-;< 0.04;               0.045;10.6;< 0.16; 0.4;-;2.05
13.2;Produits à base de poissons appertisés;26077;Thon germon ou thon blanc, cuit à la vapeur sous pression; 697; 166; 697; 166;  64;  30;  30;0;5.06;0;-;0;0;1.24;0;0;1.35;1.07;2.18;-;-;-;-;-;-;-;-;-;-;-;-;               0.037;0.16;-; 0.1;1.33;-;0.22;1.01;  40;34.3;0.02; 307; 390;-;41.1;0.54;   4;0;-;-;-;-;-;-;-;-;-;-;-;-
13.2;Produits à base de poissons appertisés;26039;Thon, au naturel, appertisé, égoutté; 471; 111; 471; 111;72.7;26.8;26.8;0; 0.4;0;0;0;0;1.33;0;0;               0.086;               0.078;0.12;< 0.01;< 0.01;< 0.01;< 0.01;             0.00016;               0.011;               0.071;              0.0034;               0.078;              0.0042;              0.0017;               0.001;0.02;               0.088;  50;0.74;6.81; 428;               0.031;0.76;  16;  24;              0.0037; 155; 207; 253; 259;0.43; 6.5;0;5.08; 1.2;0;-;0;0.03;               0.053;13.6;               0.094;0.44;16.3;2.53
01.3;Pâtes et semoules crues;9681;Couscous (semoule de blé dur roulée précuite à la vapeur), crue;1530; 361;1510; 356;9.95;12.3;13.5;  71;1.59;3.57;64.7; 4.1;0;1.01;0;0;0.31;0.22;0.59;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;               0.001; 0.2;               0.018;0.22;0.56;               0.032;-;-;< 0.01;0.21;               0.023;  24;-;0.25;1.08;-;  44;0.78; 185; 166;-;9.13;0.83;0;-;0;-;-;-;0;0.16;               0.078;   4;1.24;0.11;  20;0
01.3;Pâtes et semoules crues;26264;Gnocchi à la pomme de terre, cru; 744; 176; 744; 176;-;4.66;4.66;  35;1.42;3.18;-; 2.2;0;1.48;0;0; 0.3;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.18;-;-;-;-;-;-;-;-;-;-; 468;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.3;Pâtes et semoules crues;26265;Gnocchi à la semoule, cru; 846; 200; 846; 200;-; 6.2; 6.2;  37; 2.6; 9.9;-; 1.9;0;1.83;0;0;0.34;0.47;0.94;-;-;-;-;-;-;-;-;-;0.93;              0.0095;-;-;-;-;2.21;-;-;-;-;-;-;-;-;-;-; 870;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.3;Pâtes et semoules crues;9612;Mélange de céréales et légumineuses, cru;1490; 354;1470; 349;-;13.7;  15;  59;   4; 4.5;-;  11;0;1.06;0;0; 0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.99;-;-;-;-;-;  70;-;-;-;-; 397;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.3;Pâtes et semoules crues;9614;Polenta ou semoule de maïs, précuite, sèche;1480; 350;1480; 350;12.6;7.88;7.88;  74; 1.8;-;  68; 3.2;0;0.55;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;              0.0043;1.55;  94;-;< 1;< 10;  35;< 1; 104; 144;< 5; 1.7;< 1;-;< 50;-;< 1;-;-;-;0.07;0.06;< 0.05;0.39;0.08;  35;-
01.3;Pâtes et semoules crues;9815;Pâtes fraîches, aux œufs, crues;1200; 283;1180; 279;-;10.1;11.1;53.8;1.87;2.54;-;3.17;0;0.63;0;0;0.49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48.6;0.35;  35;-;-;1.29;-;-;-;-;-;-; 156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.3;Pâtes et semoules crues;9810;Pâtes sèches standard, crues;1480; 349;1450; 342;14.3;  17;18.6;63.1;1.79;2.07;  61;2.99;0; 0.8;0;0;0.37;0.39;0.76;0;0;0;0;0;0;0.24;               0.017;0.18;0.72;               0.038;-;0;0;< 0.29;               0.031;20.5;-;0.27; 1.5; 1.2;57.5;0.75; 165; 219; 4.8; 9.2;1.31;0;-;0; 0.2; 0.1;-;0;0.12;               0.048;1.35;0.37;               0.096;23.7;0
